,공연시설코드,시설특성,개관연도,주소,편의시설_레스토랑 여부,편의시설_카페 여부,편의시설_편의점 여부,편의시설_놀이방 여부,편의시설_수유실 여부,장애인시설_주차장 여부,장애인시설_화장실 여부,장애인시설_경사로 여부,장애인시설_전용엘리베이터 여부,주차시설_자체 여부,주차시설_공영 여부,공연장코드,좌석수,장애인석,무대시설_오케스트라피트 여부,무대시설_연습실 여부,무대시설_분장실 여부,무대시설_무대넓이
220522,FC223571,공공(문예회관),2013.0,경기도 파주시 와석순환로 415 ,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,FC223571-01,536,6,Y,N,Y,1115
220949,FC222067,공공(문예회관),1995.0,인천광역시 서구 서달로 190 (가정동) 서구문화회관,N,Y,N,N,N,Y,N,Y,N,Y,N,FC222067-03,200,N,N,Y,Y,
221107,FC222415,민간(대학로 외),2004.0,대구광역시 중구 명덕로 333 (대봉동) 대백프라자 대백프라자,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC222415-01,340,N,N,N,Y,12X4.5
222013,FC222415,민간(대학로 외),2004.0,대구광역시 중구 명덕로 333 (대봉동) 대백프라자 대백프라자,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC222415-02,100,N,N,N,N,
222118,FC222966,민간(대학로),1991.0,서울특별시 종로구 대학로12길 46 (동숭동) 2층,N,N,N,N,N,N,N,N,N,N,N,FC222966-01,194,N,N,Y,Y,10.7X6.7
223156,FC222063,민간(대학로),2006.0,서울특별시 종로구 동숭길 55 (동숭동) 지하 1층,N,N,N,N,N,N,N,N,N,N,N,FC222063-01,197,N,N,N,N,61
227048,FC222071,민간(대학로 외),2005.0,대구광역시 남구 현충로 256 (대명동) ,N,N,N,N,N,N,N,N,N,N,N,FC222071-01,100,N,N,N,Y,58
227065,FC222377,공공(기타),2012.0,경기도 성남시 분당구 분당수서로 501(정자동 4-6) ,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,FC222377-01,354,4,N,N,Y,
230469,FC223671,민간(대학로),2010.0,서울특별시 종로구 대학로12길 73 (동숭동) ,N,N,N,N,N,N,N,N,N,N,N,FC223671-01,359,N,N,N,N,10.5X7X6.95
235186,FC222655,공공(문예회관),2000.0,세종특별자치시 조치원읍 문예회관길 22 ,N,N,N,N,N,Y,N,N,N,Y,N,FC222655-01,842,12,N,Y,Y,765
235980,FC222233,민간(대학로 외),2011.0,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티) 7층 디큐브아트센터 공연사업부",Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,FC222233-01,1242,14,Y,Y,Y,755
237568,FC222233,민간(대학로 외),2011.0,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티) 7층 디큐브아트센터 공연사업부",Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,FC222233-01,1242,14,Y,Y,Y,755
245474,FC222865,공공(기타),2003.0,경기도 부천시 성오로 172 (오정동) ,N,N,N,N,N,Y,N,Y,N,Y,N,FC222865-01,404,6,N,Y,Y,226
245760,FC222865,공공(기타),2003.0,경기도 부천시 성오로 172 (오정동) ,N,N,N,N,N,Y,N,Y,N,Y,N,FC222865-01,404,6,N,Y,Y,226
245788,FC223434,민간(대학로),2014.0,서울특별시 종로구 동숭길 130-5 (동숭동) 지하,N,N,N,N,N,Y,N,N,N,N,Y,FC223434-01,202,N,N,N,Y,289
249784,FC223911,민간(대학로 외),2010.0,서울특별시 서대문구 이화여대길 52 (대현동) 이화캠퍼스복합단지(ECC) 지하 4층,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,FC223911-01,708,6,N,Y,Y,405
253952,FC223911,민간(대학로 외),2010.0,서울특별시 서대문구 이화여대길 52 (대현동) 이화캠퍼스복합단지(ECC) 지하 4층,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,FC223911-01,708,6,N,Y,Y,405
268413,FC223034,공공(문예회관),2017.0,경기도 안성시 발화대길 21 (현수동) ,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC223034-01,991,10,N,Y,Y,256.0
269459,FC223069,민간(대학로 외),2018.0,서울특별시 중구 창경궁로5길 5 (을지로4가) 4층,N,Y,N,N,N,N,N,N,N,N,Y,FC223069-01,45,N,N,N,N,
269670,FC222738,민간(대학로),1999.0,서울특별시 종로구 창경궁로 258-12 (명륜2가) ,N,N,N,N,N,N,N,N,N,N,Y,FC222738-01,160,N,N,Y,Y,
269734,FC222099,공공(문예회관),2008.0,경상남도 창원시 마산회원구 삼호로 135 (양덕동) 3.15아트센터,N,Y,N,N,N,Y,Y,N,N,Y,N,FC222099-01,1182,20,Y,Y,Y,1287.0
270336,FC222099,공공(문예회관),2008.0,경상남도 창원시 마산회원구 삼호로 135 (양덕동) 3.15아트센터,N,Y,N,N,N,Y,Y,N,N,Y,N,FC222099-01,1182,20,Y,Y,Y,1287
270771,FC222099,공공(문예회관),2008.0,경상남도 창원시 마산회원구 삼호로 135 (양덕동) 3.15아트센터,N,Y,N,N,N,Y,Y,N,N,Y,N,FC222099-02,463,8,N,Y,Y,251
