,연령대,성별,지역,가입경로,마케팅동의,회원구분,총구매금액,실결제금액,매장방문수,적립금,사용적립금,탈퇴여부
2113,미입력,미입력,선택,pc,F,전화주문 고객,131040.0,106040.0,0.0,0.0,0.0,F
2184,미입력,미입력,선택,pc,F,전화주문 고객,1100100.0,930830.0,0.0,2000.0,2000.0,F
3445,미입력,미입력,선택,pc,F,사업자,8664610.0,5882100.0,3.0,173040.0,161440.0,F
2339,미입력,미입력,선택,pc,F,전화주문 고객,330060.0,291760.0,0.0,0.0,0.0,F
515,미입력,미입력,선택,pc,F,전화주문 고객,132570.0,132570.0,0.0,1000.0,0.0,F
288,미입력,미입력,선택,pc,F,사업자,1773140.0,1219190.0,9.0,12300.0,5000.0,T
3130,미입력,미입력,선택,pc,F,전화주문 고객,101400.0,93400.0,0.0,0.0,0.0,T
2819,미입력,미입력,선택,pc,F,사업자,251890.0,169370.0,7.0,1760.0,0.0,T
474,미입력,미입력,선택,pc,F,전화주문 고객,245950.0,245950.0,0.0,0.0,0.0,F
2784,미입력,미입력,선택,pc,F,전화주문 고객,145450.0,120450.0,0.0,0.0,0.0,F
956,미입력,미입력,선택,pc,F,사업자,267800.0,222700.0,0.0,1900.0,0.0,T
2473,미입력,미입력,미입력,pc,F,일반,61970.0,46970.0,0.0,1930.0,0.0,F
2202,미입력,미입력,선택,pc,F,전화주문 고객,634440.0,452720.0,0.0,0.0,0.0,F
438,미입력,미입력,미입력,pc,F,일반,21000.0,21000.0,0.0,1100.0,0.0,F
1092,미입력,미입력,선택,pc,F,사업자,512400.0,485700.0,3.0,3300.0,0.0,T
2563,미입력,미입력,미입력,pc,F,전화주문 고객,370840.0,297560.0,0.0,0.0,0.0,F
2306,미입력,미입력,선택,pc,F,전화주문 고객,1511360.0,1236560.0,0.0,0.0,0.0,F
2930,미입력,미입력,선택,pc,F,전화주문 고객,85440.0,55440.0,0.0,0.0,0.0,F
394,미입력,미입력,선택,pc,F,전화주문 고객,413700.0,413700.0,0.0,0.0,0.0,F
289,미입력,미입력,선택,pc,F,사업자,1341280.0,1220030.0,1.0,2400.0,1700.0,T
3452,미입력,미입력,선택,pc,F,전화주문 고객,68200.0,0.0,0.0,0.0,0.0,T
3211,미입력,미입력,선택,pc,F,사업자,944370.0,828970.0,0.0,6900.0,4500.0,F
1456,미입력,미입력,선택,pc,F,사업자,1827580.0,1662160.0,36.0,38120.0,35620.0,T
1501,미입력,미입력,선택,pc,F,사업자,7610470.0,6106950.0,24.0,100690.0,97590.0,T
2327,미입력,미입력,선택,pc,F,사업자,550670.0,433670.0,0.0,13060.0,0.0,T
1577,미입력,미입력,선택,pc,F,사업자,1568250.0,639090.0,3.0,15240.0,0.0,T
2324,미입력,미입력,선택,pc,F,전화주문 고객,57900.0,42900.0,0.0,0.0,0.0,F
2481,미입력,미입력,선택,pc,F,전화주문 고객,223500.0,99550.0,0.0,0.0,0.0,T
812,미입력,미입력,선택,pc,F,일반,5557450.0,5181620.0,38.0,54000.0,39600.0,F
1094,미입력,미입력,선택,pc,F,사업자,655830.0,625090.0,4.0,13830.0,7340.0,T
3260,미입력,미입력,선택,pc,F,전화주문 고객,726600.0,583100.0,0.0,0.0,0.0,F
1268,미입력,미입력,선택,pc,F,특별회원,1561320.0,1407220.0,17.0,10500.0,8400.0,F
889,미입력,미입력,선택,pc,F,전화주문 고객,317600.0,222130.0,0.0,0.0,0.0,F
3000,미입력,미입력,미입력,pc,F,사업자,83790.0,53790.0,0.0,1250.0,0.0,T
3345,미입력,미입력,선택,pc,F,전화주문 고객,1027010.0,715040.0,0.0,0.0,0.0,T
3848,40대,남자,서울,pc,F,사업자,89450.0,76750.0,0.0,0.0,0.0,F
3845,미입력,미입력,선택,pc,F,사업자,276350.0,256470.0,0.0,0.0,0.0,F
1755,미입력,미입력,선택,pc,F,전화주문 고객,201470.0,164970.0,0.0,0.0,0.0,T
2822,미입력,미입력,선택,pc,F,일반,358560.0,261340.0,0.0,5500.0,5220.0,F
977,미입력,미입력,선택,pc,F,전화주문 고객,609630.0,539290.0,0.0,0.0,0.0,F
3853,미입력,여자,선택,pc,F,사업자,74700.0,67230.0,0.0,0.0,0.0,F
3790,미입력,미입력,선택,pc,F,사업자,12587040.0,10464414.0,10.0,229681.0,216916.0,F
744,미입력,미입력,선택,pc,F,전화주문 고객,181490.0,181490.0,0.0,0.0,0.0,F
3590,미입력,미입력,선택,pc,F,사업자,91350.0,84960.0,0.0,2690.0,0.0,F
1915,미입력,미입력,선택,pc,F,전화주문 고객,2217690.0,1962090.0,0.0,0.0,0.0,T
2873,미입력,미입력,미입력,pc,F,일반,411720.0,225060.0,0.0,3960.0,0.0,F
3913,미입력,미입력,선택,pc,F,일반,69000.0,64000.0,0.0,0.0,0.0,F
2589,미입력,미입력,선택,pc,F,전화주문 고객,396410.0,340710.0,0.0,0.0,0.0,T
775,미입력,미입력,미입력,pc,F,일반,658880.0,621220.0,3.0,2900.0,2800.0,T
2172,미입력,미입력,선택,pc,F,전화주문 고객,4750.0,4750.0,0.0,0.0,0.0,F
390,미입력,미입력,선택,pc,F,전화주문 고객,213240.0,213240.0,0.0,0.0,0.0,F
1512,미입력,미입력,선택,pc,F,사업자,2094690.0,1844810.0,12.0,45860.0,44580.0,T
170,미입력,미입력,선택,pc,F,전화주문 고객,460890.0,460890.0,0.0,1000.0,0.0,F
3166,미입력,미입력,미입력,pc,F,일반,62000.0,48000.0,0.0,1000.0,0.0,F
1385,미입력,미입력,선택,pc,F,전화주문 고객,283640.0,235660.0,0.0,0.0,0.0,T
3885,미입력,미입력,선택,pc,F,사업자,528660.0,475790.0,0.0,0.0,0.0,F
3025,미입력,미입력,선택,pc,F,사업자,670890.0,474390.0,0.0,8980.0,8000.0,T
