,LOT번호,작업명,설비번호,단위중량(kg),투입중량(kg),투입액량(L),염색길이(m),공정진행시간(%),목표온도,지시온도,진행온도,목표대비 진행온도,지시대비 진행온도,포속1,포속2,포속3,포속4,염색색차 DE
18069,F2207250113,염색,FCM15,146,188.6,4000,1600.0,32.97,0,81.2,81.6,0.0,1.004926108374384,133,36,125,55,0.3004971
33097,F2208300552,원단검사,FCM08,324,38.0,1000,19.0,13.22,0,71.2,71.0,0.0,0.997191011235955,71,21,72,5,0.8450533
11487,F2206200066,원단검사,FCM08,625,60.2,1000,52.0,10.43,70,47.4,46.8,0.6685714285714285,0.9873417721518988,52,10,54,5,1.039721
16058,F2207080047,원단검사,FCM06,450,164.2,2000,173.0,83.22,0,80.0,81.6,0.0,1.02,80,439,86,258,1.362835
17929,F2207250110,염색,FCM15,146,189.1,4000,1600.0,83.56,0,80.0,82.4,0.0,1.03,113,119,107,144,0.4288969
17065,F2207250049,염색,FCM12,800,50.0,600,67.0,71.69,0,115.7,114.3,0.0,0.9878997407087294,357,85,0,0,0.7474369
6985,F2203240028,원단검사,FCM11,190,85.6,4000,401.0,77.96,0,30.0,29.7,0.0,0.99,93,143,104,177,1.655061
32292,F2208300115,원단검사,FCM06,460,112.4,2000,24.0,5.36,70,51.4,51.0,0.7285714285714285,0.9922178988326849,6,21,7,14,1.113164
28386,F2208120067,원단검사,FCM08,460,46.4,1000,3.0,83.01,0,100.4,100.1,0.0,0.997011952191235,61,201,62,82,1.068646
14392,F2207010034,염색,FCM06,314,98.8,2000,300.0,82.02,0,90.0,89.8,0.0,0.9977777777777778,19,232,68,132,0.5957398
4527,F2203030281,원단검사,FCM08,324,78.3,1000,25.0,28.6,0,100.0,98.9,0.0,0.989,60,179,62,139,5.306342
16286,F2207080049,원단검사,FCM08,450,95.8,1000,72.0,34.15,0,70.0,69.3,0.0,0.99,48,220,48,196,1.355596
18411,F2207250114,염색,FCM15,146,188.8,4000,1600.0,59.25,0,135.0,137.2,0.0,1.0162962962962965,131,64,124,96,0.4435995
5685,F2203080146,원단검사,FCM07,560,260.4,4000,450.0,16.11,0,62.5,61.2,0.0,0.9792,93,14,93,15,1.91208
24785,F2208080025,원단검사,FCM06,320,122.7,2000,77.0,90.12,0,84.4,85.0,0.0,1.0071090047393365,69,374,92,208,1.593427
13847,F2207010013,원단검사,FCM12,460,40.0,600,3.0,87.0,0,70.0,69.4,0.0,0.9914285714285715,37,150,0,0,1.130695
14795,F2207040146,원단검사,FCM08,294,80.1,1000,254.0,38.94,0,113.6,113.5,0.0,0.9991197183098592,72,197,69,200,0.319741
26900,F2208110087,원단검사,FCM05,620,189.8,2000,266.0,81.64,0,104.6,104.0,0.0,0.994263862332696,57,211,89,160,0.3338742
9671,F2205160003,염색,FCM06,314,115.1,2000,401.0,80.33,0,90.0,90.0,0.0,1.0,9,210,93,112,0.4264583
3486,F2202210105,원단검사,FCM07,560,341.6,4000,545.0,79.91,0,70.0,70.2,0.0,1.002857142857143,85,102,85,107,1.958902
31525,F2208300084,원단검사,FCM06,460,155.8,2000,5.0,34.03,0,104.2,104.1,0.0,0.9990403071017274,63,130,77,84,1.361657
29447,F2208240016,원단검사,FCM11,604,280.0,4000,2.0,30.42,0,100.0,100.0,0.0,1.0,104,37,110,31,0.5512151
34070,F2209010106,원단검사,FCM11,604,234.2,4000,433.0,58.94,0,129.9,129.5,0.0,0.9969207082371054,81,78,17,76,1.696731
23210,F2208030136,원단검사,FCM05,480,156.4,2000,242.0,56.36,0,72.2,72.3,0.0,1.0013850415512464,54,201,99,150,2.855713
4017,F2202210108,원단검사,FCM05,560,199.5,2000,111.0,84.94,0,87.4,87.0,0.0,0.9954233409610984,93,200,123,93,3.457263
13561,F2206290342,원단검사,FCM08,560,60.8,1000,10.0,39.13,0,70.0,68.3,0.0,0.9757142857142856,57,152,59,46,0.3221368
32927,F2208300164,원단검사,FCM06,460,155.6,2000,33.0,74.16,0,70.0,68.8,0.0,0.9828571428571428,23,486,92,274,1.013855
24723,F2208080025,원단검사,FCM06,320,122.7,2000,77.0,74.81,0,70.0,43.3,0.0,0.6185714285714285,14,306,90,170,1.593427
11890,F2206220054,원단검사,FCM08,560,63.6,1000,10.0,46.98,0,70.0,70.8,0.0,1.0114285714285711,32,628,33,501,1.315164
15044,F2207070020,염색,FCM12,314,44.6,600,35.0,18.5,0,75.6,75.3,0.0,0.996031746031746,56,30,0,0,0.5272802
20119,F2207280277,원단검사,FCM05,536,161.4,2000,46.0,18.33,0,76.7,76.5,0.0,0.997392438070404,100,22,94,17,0.7062185
15344,F2207080044,원단검사,FCM11,190,88.3,4000,458.0,50.66,0,108.9,108.3,0.0,0.9944903581267216,77,75,83,71,1.169382
30831,F2208290103,원단검사,FCM11,604,310.4,4000,600.0,18.4,0,64.3,62.7,0.0,0.9751166407465008,71,24,75,25,0.6295673
9929,F2205300077,원단검사,FCM05,505,201.4,2000,1.0,67.63,0,85.4,84.8,0.0,0.992974238875878,36,165,112,104,1.309122
9313,F2204290026,원단검사,FCM08,560,55.8,1000,10.0,59.81,0,90.7,90.2,0.0,0.9944873208379272,52,273,332,78,2.042118
